"CountryCode","SeriesCode","DESCRIPTION",
"BHR","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BHR","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BHR","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BHR","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BHS","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"BHS","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BHS","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"BHS","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BHS","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BHS","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BHS","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BHS","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BHS","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BHS","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BIH","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"BIH","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BIH","SG.POP.MIGR.FE.ZS","There were no data on international migrants for the country or area concerned and that the estimates presented were imputed. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"BIH","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BIH","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BIH","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BIH","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BIH","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BIH","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"BIH","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BLR","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"BLR","SP.DYN.CBRT.IN","Data source: Eurostat, TransMONEE, United Nations World Population Prospects",
"BLR","SP.DYN.LE00.MA.IN","Data source: National Statistical Committee of the Republic of Belarus; United Nations World Population Prospects",
"BLR","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BLR","SP.DYN.LE00.FE.IN","Data source: National Statistical Committee of the Republic of Belarus; United Nations World Population Prospects",
"BLR","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"BLR","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"BLR","SP.DYN.TFRT.IN","Data source: Eurostat, National Statistical Committee of the Republic of Belarus, United Nations World Population Prospects",
"BLR","SP.POP.TOTL","Data source: National Statistical Committee of the Republic of Belarus, Eurostat",
"BLR","SP.DYN.CDRT.IN","Data source: Eurostat, TransMONEE, United Nations World Population Prospects",
"BLZ","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"BLZ","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"BLZ","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BLZ","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BLZ","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"BLZ","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BLZ","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BLZ","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BLZ","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BLZ","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BMU","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"BMU","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BMU","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BMU","SP.DYN.CDRT.IN","Data source: Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report",
"BMU","SP.DYN.TFRT.IN","Data source: Bermuda Government Department of Statistics, United Nations World Population Prospects",
"BMU","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"BMU","SP.POP.TOTL","Data source: Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report",
"BMU","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BMU","SP.DYN.CBRT.IN","Data source: Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report",
"BMU","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"BOL","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BOL","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BOL","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"BOL","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BOL","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"BOL","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BOL","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BOL","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BOL","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BOL","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BRA","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BRA","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"BRA","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BRA","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BRA","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BRA","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BRA","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BRA","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"BRA","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BRA","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BRB","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BRB","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"BRB","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BRB","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
